t;v
0;100.04
0.01;99.96
0.02;99.96
0.03;99.935
0.04;99.935
0.05;99.935
0.06;99.935
0.07;99.915
0.08;99.915
0.09;99.885
0.1;99.885
0.11;99.83
0.12;99.83
0.13;99.845
0.14;99.845
0.15;99.86
0.16;99.86
0.17;99.825
0.18;99.825
0.19;99.82
0.2;99.82
0.21;99.815
0.22;99.815
0.23;99.73
0.24;99.73
0.25;99.75
0.26;99.75
0.27;99.72
0.28;99.72
0.29;99.735
0.3;99.735
0.31;99.65
0.32;99.65
0.33;99.635
0.34;99.635
0.35;99.65
0.36;99.65
0.37;99.645
0.38;99.645
0.39;99.565
0.4;99.565
0.41;99.555
0.42;99.555
0.43;99.545
0.44;99.545
0.45;99.54
0.46;99.54
0.47;99.465
0.48;99.465
0.49;99.475
0.5;99.475
0.51;99.49
0.52;99.49
0.53;99.465
0.54;99.465
0.55;99.385
0.56;99.385
0.57;99.305
0.58;99.305
0.59;99.34
0.6;99.34
0.61;99.335
0.62;99.335
0.63;99.27
0.64;99.27
0.65;99.28
0.66;99.28
0.67;99.305
0.68;99.305
0.69;99.315
0.7;99.315
0.71;99.195
0.72;99.195
0.73;99.175
0.74;99.175
0.75;99.21
0.76;99.21
0.77;99.205
0.78;99.205
0.79;99.15
0.8;99.15
0.81;99.11
0.82;99.11
0.83;99.11
0.84;99.11
0.85;99.11
0.86;99.11
0.87;99.095
0.88;99.095
0.89;99.045
0.9;99.045
0.91;99.07
0.92;99.07
0.93;99.03
0.94;99.03
0.95;99.025
0.96;99.025
0.97;99.01
0.98;99.01
0.99;98.995
1;98.995
1.01;98.92
1.02;98.92
1.03;98.925
1.04;98.925
1.05;98.92
1.06;98.92
1.07;98.9
1.08;98.9
1.09;98.855
1.1;98.855
1.11;98.835
1.12;98.835
1.13;98.86
1.14;98.86
1.15;98.805
1.16;98.805
1.17;98.765
1.18;98.765
1.19;98.755
1.2;98.755
1.21;98.765
1.22;98.765
1.23;98.69
1.24;98.69
1.25;98.685
1.26;98.685
1.27;98.67
1.28;98.67
1.29;98.69
1.3;98.69
1.31;98.705
1.32;98.705
1.33;98.61
1.34;98.61
1.35;98.58
1.36;98.58
1.37;98.595
1.38;98.595
1.39;98.615
1.4;98.615
1.41;98.53
1.42;98.53
1.43;98.525
1.44;98.525
1.45;98.465
1.46;98.465
1.47;98.455
1.48;98.455
1.49;98.455
1.5;98.455
1.51;98.445
1.52;98.445
1.53;98.46
1.54;98.46
1.55;98.385
1.56;98.385
1.57;98.36
1.58;98.36
1.59;98.355
1.6;98.355
1.61;98.345
1.62;98.345
1.63;98.35
1.64;98.35
1.65;98.3
1.66;98.3
1.67;98.275
1.68;98.275
1.69;98.295
1.7;98.295
1.71;98.235
1.72;98.235
1.73;98.21
1.74;98.21
1.75;98.205
1.76;98.205
1.77;98.155
1.78;98.155
1.79;98.1
1.8;98.1
1.81;98.085
1.82;98.085
1.83;98.095
1.84;98.095
1.85;98.04
1.86;98.04
1.87;97.985
1.88;97.985
1.89;98
1.9;98
1.91;98.03
1.92;98.03
1.93;97.925
1.94;97.925
1.95;97.91
1.96;97.91
1.97;97.835
1.98;97.835
1.99;97.875
2;97.875
2.01;97.82
2.02;97.82
2.03;97.74
2.04;97.74
2.05;97.755
2.06;97.755
2.07;97.765
2.08;97.765
2.09;97.735
2.1;97.735
2.11;97.735
2.12;97.735
2.13;97.74
2.14;97.74
2.15;97.76
2.16;97.76
2.17;97.705
2.18;97.705
2.19;97.65
2.2;97.65
2.21;97.64
2.22;97.64
2.23;97.64
2.24;97.64
2.25;97.65
2.26;97.65
2.27;97.525
2.28;97.525
2.29;97.54
2.3;97.54
2.31;97.565
2.32;97.565
2.33;97.54
2.34;97.54
2.35;97.54
2.36;97.54
2.37;97.515
2.38;97.515
2.39;97.54
2.4;97.54
2.41;97.525
2.42;97.525
2.43;97.46
2.44;97.46
2.45;97.465
2.46;97.465
2.47;97.445
2.48;97.445
2.49;97.395
2.5;97.395
2.51;97.33
2.52;97.33
2.53;97.325
2.54;97.325
2.55;97.275
2.56;97.275
2.57;97.26
2.58;97.26
2.59;97.21
2.6;97.21
2.61;97.23
2.62;97.23
2.63;97.21
2.64;97.21
2.65;97.19
2.66;97.19
2.67;97.1
2.68;97.1
2.69;97.12
2.7;97.12
2.71;97.1
2.72;97.1
2.73;97.075
2.74;97.075
2.75;97.01
2.76;97.01
2.77;97.04
2.78;97.04
2.79;97.055
2.8;97.055
2.81;97.055
2.82;97.055
2.83;97.01
2.84;97.01
2.85;96.93
2.86;96.93
2.87;96.915
2.88;96.915
2.89;96.835
2.9;96.835
2.91;96.86
2.92;96.86
2.93;96.885
2.94;96.885
2.95;96.87
2.96;96.87
2.97;96.89
2.98;96.89
2.99;96.815
3;96.815
3.01;96.85
3.02;96.85
3.03;96.8
3.04;96.8
3.05;96.795
3.06;96.795
3.07;96.765
3.08;96.765
3.09;96.79
3.1;96.79
3.11;96.71
3.12;96.71
3.13;96.715
3.14;96.715
3.15;96.685
3.16;96.685
3.17;96.705
3.18;96.705
3.19;96.61
3.2;96.61
3.21;96.61
3.22;96.61
3.23;96.61
3.24;96.61
3.25;96.645
3.26;96.645
3.27;96.575
3.28;96.575
3.29;96.555
3.3;96.555
3.31;96.515
3.32;96.515
3.33;96.535
3.34;96.535
3.35;96.47
3.36;96.47
3.37;96.415
3.38;96.415
3.39;96.4
3.4;96.4
3.41;96.405
3.42;96.405
3.43;96.355
3.44;96.355
3.45;96.32
3.46;96.32
3.47;96.33
3.48;96.33
3.49;96.33
3.5;96.33
3.51;96.26
3.52;96.26
3.53;96.26
3.54;96.26
3.55;96.245
3.56;96.245
3.57;96.255
3.58;96.255
3.59;96.215
3.6;96.215
3.61;96.17
3.62;96.17
3.63;96.175
3.64;96.175
3.65;96.185
3.66;96.185
3.67;96.12
3.68;96.12
3.69;96.11
3.7;96.11
3.71;96.11
3.72;96.11
3.73;96.125
3.74;96.125
3.75;96.09
3.76;96.09
3.77;96.045
3.78;96.045
3.79;96.035
3.8;96.035
3.81;96.04
3.82;96.04
3.83;96.015
3.84;96.015
3.85;95.985
3.86;95.985
3.87;95.945
3.88;95.945
3.89;95.915
3.9;95.915
3.91;95.865
3.92;95.865
3.93;95.855
3.94;95.855
3.95;95.84
3.96;95.84
3.97;95.845
3.98;95.845
3.99;95.77
4;95.77
4.01;95.765
4.02;95.765
4.03;95.765
4.04;95.765
4.05;95.745
4.06;95.745
4.07;95.68
4.08;95.68
4.09;95.68
4.1;95.68
4.11;95.675
4.12;95.675
4.13;95.68
4.14;95.68
4.15;95.595
4.16;95.595
4.17;95.615
4.18;95.615
4.19;95.59
4.2;95.59
4.21;95.57
4.22;95.57
4.23;95.555
4.24;95.555
4.25;95.55
4.26;95.55
4.27;95.545
4.28;95.545
4.29;95.5
4.3;95.5
4.31;95.38
4.32;95.38
4.33;95.4
4.34;95.4
4.35;95.415
4.36;95.415
4.37;95.415
4.38;95.415
4.39;95.38
4.4;95.38
4.41;95.345
4.42;95.345
4.43;95.305
4.44;95.305
4.45;95.305
4.46;95.305
4.47;95.29
4.48;95.29
4.49;95.295
4.5;95.295
4.51;95.235
4.52;95.235
